filename,title,bpm,valence,arousal,mood_happy,mood_sad,mood_aggressive,mood_relaxed,mood_party,danceability,emotion
(Sandy) Alex G - ＂Poison Root＂ (Live Performance).mp3,(Sandy) Alex G - ＂Poison Root＂ (Live Performance),77.13386535644531,4.6937,5.1944,0.3047,0.922,0.0105,0.7868,0.0005,0.1236,sad
12Bit Ramen.mp3,12Bit Ramen,126.04801940917967,5.1228,4.9761,0.0083,0.6898,0.0006,0.9925,0.1701,0.9926,sad
2 soon.mp3,2 soon,120.18531799316406,4.8576,5.0579,0.3111,0.5741,0.0146,0.493,0.2373,0.8057,sad
3 Doors Down - Here Without You (Official Music Video).mp3,3 Doors Down - Here Without You (Official Music Video),99.38401794433594,5.3283,5.0164,0.6472,0.7206,0.3453,0.2457,0.2375,0.6628,sad
AC⧸DC - Back In Black (Official 4K Video).mp3,AC⧸DC - Back In Black (Official 4K Video),130.0117950439453,6.9197,5.1277,0.4798,0.0732,0.9521,0.0427,0.5266,0.5253,anxious
AIDAN - Madam (Official Video).mp3,AIDAN - Madam (Official Video),137.8125,5.8059,5.9229,0.6933,0.3427,0.0449,0.3351,0.3879,0.8767,romantic_passionate
AO Longo Do Rio.mp3,AO Longo Do Rio,106.00961303710938,4.2566,5.1951,0.224,0.7029,0.001,0.9975,0.0106,0.9188,sad
AURORA - Runaway.mp3,AURORA - Runaway,80.12354278564453,4.5568,4.1735,0.3136,0.717,0.0156,0.8768,0.0218,0.7034,sad
Adele - Easy On Me (Official Video).mp3,Adele - Easy On Me (Official Video),98.4375,4.1992,4.4339,0.165,0.7515,0.1432,0.9201,0.0822,0.4553,sad
Adele - Hello (Official Music Video).mp3,Adele - Hello (Official Music Video),108.7993392944336,4.7888,4.3466,0.3075,0.7506,0.1024,0.717,0.1463,0.549,sad
Adele - Rolling in the Deep (Official Music Video).mp3,Adele - Rolling in the Deep (Official Music Video),144.55856323242188,5.3565,5.6297,0.7383,0.6195,0.0224,0.3558,0.357,0.6222,romantic_passionate
Adele - Set Fire To The Rain (Live at The Royal Albert Hall).mp3,Adele - Set Fire To The Rain (Live at The Royal Albert Hall),74.35926055908203,5.1109,5.7427,0.7585,0.7237,0.1505,0.2154,0.2769,0.435,romantic_passionate
Adele - Someone Like You (Official Music Video).mp3,Adele - Someone Like You (Official Music Video),93.1165542602539,4.306,4.6558,0.2486,0.9698,0.004,0.8286,0.0264,0.2584,sad
Ahzee & Faydee - Burn it Down (Official Video).mp3,Ahzee & Faydee - Burn it Down (Official Video),88.34134674072266,6.4655,6.3227,0.4898,0.0844,0.6209,0.1162,0.8716,0.9801,party
Ahzee - Go Gyal (Official Video).mp3,Ahzee - Go Gyal (Official Video),144.55856323242188,6.0695,5.6198,0.6808,0.1636,0.193,0.2245,0.7315,0.9365,triumphant
Akon - Lonely (Official Music Video).mp3,Akon - Lonely (Official Music Video),124.52936553955078,5.2952,5.4439,0.5108,0.683,0.0582,0.5178,0.6796,0.8832,sad
Alan Walker - Alone.mp3,Alan Walker - Alone,133.36692810058594,6.4026,5.7455,0.5945,0.108,0.433,0.2723,0.6911,0.9841,triumphant
Alan Walker - Darkside (feat. Au⧸Ra and Tomine Harket).mp3,Alan Walker - Darkside (feat. Au⧸Ra and Tomine Harket),117.4538345336914,5.7245,5.2738,0.4778,0.3024,0.3067,0.4092,0.5307,0.8051,triumphant
