filename,title,bpm,valence,arousal,mood_happy,mood_sad,mood_aggressive,mood_relaxed,mood_party,danceability,emotion
&#039;Bout It - JMSN.mp3,&#039;Bout It - JMSN,109.96,4.9472,4.7128,0.2114,0.3874,0.033,0.7995,0.1625,0.874,dark_ambient
&#039;Cause You Have To - LANY.mp3,&#039;Cause You Have To - LANY,109.96,5.158,5.1687,0.1919,0.3812,0.0815,0.5923,0.5048,0.8265,focused
&#039;Til You Can&#039;t - Cody Johnson.mp3,&#039;Til You Can&#039;t - Cody Johnson,109.96,5.2103,5.0693,0.3194,0.4681,0.0722,0.5773,0.3679,0.4475,romantic_tender
(Don&#039;t Fear) The Reaper - Blue Öyster Cult.mp3,(Don&#039;t Fear) The Reaper - Blue Öyster Cult,109.96,5.8471,5.7173,0.6883,0.3653,0.1755,0.3439,0.1553,0.1341,euphoric
(Everything I Do) I Do It For You - Bryan Adams.mp3,(Everything I Do) I Do It For You - Bryan Adams,109.96,4.9101,4.7531,0.1647,0.7055,0.0539,0.4533,0.1547,0.1509,lonely
(I Can&#039;t Get No) Satisfaction - Mono Version - The Rolling Stones.mp3,(I Can&#039;t Get No) Satisfaction - Mono Version - The Rolling Stones,109.96,5.5837,5.352,0.9722,0.102,0.1649,0.1105,0.667,0.4159,romantic_passionate
(I Just) Died In Your Arms - Cutting Crew.mp3,(I Just) Died In Your Arms - Cutting Crew,109.96,5.4649,5.4166,0.6639,0.4923,0.0264,0.1795,0.3221,0.1415,romantic_passionate
(It Goes Like) Nanana - Edit - Peggy Gou.mp3,(It Goes Like) Nanana - Edit - Peggy Gou,109.96,6.4798,7.0283,0.6566,0.0657,0.1014,0.1687,0.9211,0.9794,euphoric
(dream) - salvia palth.mp3,(dream) - salvia palth,109.96,3.9744,4.3549,0.021,0.8873,0.0044,0.9867,0.0015,0.0289,dark_ambient
"+ Perra + Bitch - Belinda, Neton Vega.mp3","+ Perra + Bitch - Belinda, Neton Vega",109.96,5.8956,5.6475,0.5656,0.1031,0.0623,0.3476,0.8757,0.9804,euphoric
